date,color
2025-08-18,red
2025-08-19,orange
2025-08-20,yellow
2025-08-21,green
2025-08-22,blue
2025-08-25,purple
2025-08-26,red
2025-08-27,orange
2025-08-28,yellow
2025-08-29,green
2025-09-01,
2025-09-02,blue
2025-09-03,purple
2025-09-04,red
2025-09-05,orange
2025-09-08,yellow
2025-09-09,green
2025-09-10,blue
2025-09-11,purple
2025-09-12,red
2025-09-15,orange
2025-09-16,yellow
2025-09-17,green
2025-09-18,blue
2025-09-19,purple
2025-09-22,red
2025-09-23,orange
2025-09-24,yellow
2025-09-25,green
2025-09-26,
2025-09-29,blue
2025-09-30,purple
2025-10-01,red
2025-10-02,orange
2025-10-03,yellow
2025-10-06,green
2025-10-07,blue
2025-10-08,purple
2025-10-09,red
2025-10-10,orange
2025-10-13,
2025-10-14,yellow
2025-10-15,green
2025-10-16,blue
2025-10-17,purple
2025-10-20,red
2025-10-21,orange
2025-10-22,yellow
2025-10-23,green
2025-10-24,blue
2025-10-27,
2025-10-28,purple
2025-10-29,red
2025-10-30,orange
2025-10-31,yellow
2025-11-03,green
2025-11-04,blue
2025-11-05,purple
2025-11-06,red
2025-11-07,orange
2025-11-10,yellow
2025-11-11,
2025-11-12,green
2025-11-13,blue
2025-11-14,purple
2025-11-17,red
2025-11-18,orange
2025-11-19,yellow
2025-11-20,green
2025-11-21,blue
2025-11-24,purple
2025-11-25,red
2025-11-26,orange
2025-11-27,
2025-11-28,
2025-12-01,yellow
2025-12-02,green
2025-12-03,blue
2025-12-04,purple
2025-12-05,red
2025-12-08,orange
2025-12-09,yellow
2025-12-10,green
2025-12-11,blue
2025-12-12,purple
2025-12-15,red
2025-12-16,orange
2025-12-17,yellow
2025-12-18,green
2025-12-19,blue
2025-12-22,
2025-12-23,
2025-12-24,
2025-12-25,
2025-12-26,
2025-12-29,
2025-12-30,
2025-12-31,
2026-01-01,
2026-01-02,
2026-01-05,
2026-01-06,purple
2026-01-07,red
2026-01-08,orange
2026-01-09,yellow
2026-01-12,green
2026-01-13,blue
2026-01-14,purple
2026-01-15,red
2026-01-16,orange
2026-01-19,
2026-01-20,yellow
2026-01-21,green
2026-01-22,blue
2026-01-23,purple
2026-01-26,red
2026-01-27,orange
2026-01-28,yellow
2026-01-29,green
2026-01-30,blue
2026-02-02,purple
2026-02-03,red
2026-02-04,orange
2026-02-05,yellow
2026-02-06,green
2026-02-09,blue
2026-02-10,purple
2026-02-11,red
2026-02-12,orange
2026-02-13,yellow
2026-02-16,
2026-02-17,
2026-02-18,green
2026-02-19,blue
2026-02-20,purple
2026-02-23,red
2026-02-24,orange
2026-02-25,yellow
2026-02-26,green
2026-02-27,blue
2026-03-02,purple
2026-03-03,red
2026-03-04,orange
2026-03-05,yellow
2026-03-06,green
2026-03-09,blue
2026-03-10,purple
2026-03-11,red
2026-03-12,orange
2026-03-13,yellow
2026-03-16,green
2026-03-17,
2026-03-18,
2026-03-19,blue
2026-03-20,purple
2026-03-23,
2026-03-24,
2026-03-25,
2026-03-26,
2026-03-27,
2026-03-30,red
2026-03-31,orange
2026-04-01,yellow
2026-04-02,green
2026-04-03,
2026-04-06,blue
2026-04-07,purple
2026-04-08,red
2026-04-09,orange
2026-04-10,yellow
2026-04-13,green
2026-04-14,blue
2026-04-15,purple
2026-04-16,red
2026-04-17,orange
2026-04-20,yellow
2026-04-21,green
2026-04-22,blue
2026-04-23,purple
2026-04-24,red
2026-04-27,orange
2026-04-28,yellow
2026-04-29,green
2026-04-30,blue
2026-05-01,purple
2026-05-04,red
2026-05-05,orange
2026-05-06,yellow
2026-05-07,green
2026-05-08,blue
2026-05-11,purple
2026-05-12,red
2026-05-13,orange
2026-05-14,yellow
2026-05-15,green
2026-05-18,blue
2026-05-19,purple
2026-05-20,red
2026-05-21,orange
2026-05-22,yellow
2026-05-25,
2026-05-26,green
2026-05-27,blue
2026-05-28,purple
2026-05-29,red
2026-06-01,orange
2026-06-02,yellow
2026-06-03,green
2026-06-04,blue
